League,College,Count,LeagueTotal,Percentage,Rank
MLB,University of California-Riverside,17,7540,0.22546419098143236,46.0
MLB,University of Nevada,17,7540,0.22546419098143236,46.0
NBA,Central Michigan University,8,4371,0.18302447952413636,46.0
NBA,Miami University,8,4371,0.18302447952413636,46.0
NBA,Saint Mary's College of California,8,4371,0.18302447952413636,46.0
NBA,University of Portland,8,4371,0.18302447952413636,46.0
NBA,University of the Pacific,8,4371,0.18302447952413636,46.0
NFL,University of Arizona,157,24459,0.6418905106504763,46.0
MLB,Creighton University,16,7540,0.21220159151193632,47.0
MLB,Eastern Michigan University,16,7540,0.21220159151193632,47.0
MLB,Fullerton College,16,7540,0.21220159151193632,47.0
MLB,Gonzaga University,16,7540,0.21220159151193632,47.0
MLB,Louisiana Tech University,16,7540,0.21220159151193632,47.0
MLB,Middle Georgia College,16,7540,0.21220159151193632,47.0
MLB,Orange Coast College,16,7540,0.21220159151193632,47.0
MLB,St. John's University,16,7540,0.21220159151193632,47.0
MLB,University of Maine at Orono,16,7540,0.21220159151193632,47.0
MLB,University of Oregon,16,7540,0.21220159151193632,47.0
MLB,University of Southern Mississippi,16,7540,0.21220159151193632,47.0
NBA,Eastern Kentucky University,7,4371,0.1601464195836193,47.0
NBA,Hamline University,7,4371,0.1601464195836193,47.0
NBA,Louisiana Tech University,7,4371,0.1601464195836193,47.0
NBA,Loyola Marymount University,7,4371,0.1601464195836193,47.0
NBA,Midland College,7,4371,0.1601464195836193,47.0
NBA,Northern Illinois University,7,4371,0.1601464195836193,47.0
NBA,Oklahoma City University,7,4371,0.1601464195836193,47.0
NBA,University of Hawaii,7,4371,0.1601464195836193,47.0
NBA,University of Massachusetts Amherst,7,4371,0.1601464195836193,47.0
NBA,University of North Carolina at Charlotte,7,4371,0.1601464195836193,47.0
NBA,Valparaiso University,7,4371,0.1601464195836193,47.0
NBA,Virginia Union University,7,4371,0.1601464195836193,47.0
NBA,West Texas A&M University,7,4371,0.1601464195836193,47.0
NBA,Western Carolina University,7,4371,0.1601464195836193,47.0
NBA,Winston-Salem State University,7,4371,0.1601464195836193,47.0
NFL,Kansas State University,155,24459,0.6337135614702154,47.0
NFL,University of Kentucky,155,24459,0.6337135614702154,47.0
MLB,California Polytechnic State University-San Luis Obispo,15,7540,0.1989389920424403,48.0
MLB,Chipola College,15,7540,0.1989389920424403,48.0
MLB,East Carolina University,15,7540,0.1989389920424403,48.0
MLB,Missouri State University,15,7540,0.1989389920424403,48.0
MLB,Purdue University,15,7540,0.1989389920424403,48.0
MLB,University of Richmond,15,7540,0.1989389920424403,48.0
MLB,University of San Diego,15,7540,0.1989389920424403,48.0
MLB,Virginia Polytechnic Institute and State University,15,7540,0.1989389920424403,48.0
NBA,Alcorn State University,6,4371,0.13726835964310227,48.0
NBA,Austin Peay State University,6,4371,0.13726835964310227,48.0
NBA,Boise State University,6,4371,0.13726835964310227,48.0
NBA,Boston University,6,4371,0.13726835964310227,48.0
NBA,Cheyney University of Pennsylvania,6,4371,0.13726835964310227,48.0
NBA,City College of New York,6,4371,0.13726835964310227,48.0
NBA,Dartmouth College,6,4371,0.13726835964310227,48.0
NBA,Davidson College,6,4371,0.13726835964310227,48.0
NBA,Idaho State University,6,4371,0.13726835964310227,48.0
NBA,Kentucky State University,6,4371,0.13726835964310227,48.0
NBA,McNeese State University,6,4371,0.13726835964310227,48.0
NBA,Oral Roberts University,6,4371,0.13726835964310227,48.0
NBA,San Jose State University,6,4371,0.13726835964310227,48.0
NBA,University of Alabama at Birmingham,6,4371,0.13726835964310227,48.0
NBA,University of California-Irvine,6,4371,0.13726835964310227,48.0
NBA,University of Central Florida,6,4371,0.13726835964310227,48.0
NBA,University of Denver,6,4371,0.13726835964310227,48.0
NBA,University of Mississippi,6,4371,0.13726835964310227,48.0
NBA,University of Texas-Pan American,6,4371,0.13726835964310227,48.0
NBA,Western Michigan University,6,4371,0.13726835964310227,48.0
